pref,market
北海道,札幌みらい中央
青森,青森合同
青森,弘果弘前中央青果
青森,八戸中央
岩手,丸モ盛岡
岩手,（仲）岩手中央青果
宮城,石巻青果
宮城,仙台あおば青果(野菜)
宮城,（仲）守屋青果
秋田,秋印
山形,丸勘山形
福島,福島丸果
福島,東印郡山青果
福島,郡山大新
福島,平果
茨城,水戸中央
茨城,茨城県大同
栃木,栃木三宝青果
栃木,東一宇都宮
群馬,前橋青果
群馬,桐生青果
群馬,ぐんま県央青果
埼玉,大宮中央青果
埼玉,埼玉丸果
埼玉,全農東京
埼玉,川越ベジフル
埼玉,千葉シティ柏市場
埼玉,熊谷青果
千葉,千住葛西
千葉,長印船橋
千葉,長印市川
千葉,千住東葛
千葉,千葉青果　千印
東京,千住青果
東京,東一
東京,荏原青果
東京,東一神田青果
東京,豊島本店
東京,世田谷ベジフル
東京,富士青果
東京,豊島板橋
東京,新宿ベジフル
東京,多摩本店
東京,多摩北部
東京,東京シティ
東京,八王子青果
東京,大田市場
神奈川,東一川崎中央
神奈川,横浜丸中
神奈川,横浜丸中湘南
神奈川,神奈川青果
神奈川,全農神奈川
静岡,三島青果
静岡,沼津中央
静岡,浜中
静岡,浜印
静岡,静岡VF
富山,高岡丸果
富山,富山丸八
石川,石川丸果
石川,小松青果
福井,武生青果
福井,福井青果
新潟,新印
新潟,新印西部
新潟,新印上越青果
新潟,三条中央
新潟,長岡中央
長野,飯山中央青果
長野,R&Cながの青果 佐久支社
長野,飯田青果
長野,株式会社　大永
長野,R&Cながの青果 長野本社
長野,R&Cながの青果 松本支社
山梨,甲州青果
岐阜,岐阜中央
愛知,豊一豊田
愛知,名青
愛知,本場支社セントライ青果
愛知,セントライ青果
愛知,(仲) 丸進
愛知,(仲) まる穂
愛知,中部グローバル青果
愛知,名古屋西青果
三重,三重県印
三重,三重VF
和歌山,和歌山青果
和歌山,和歌山大同
京都,京果
京都,京印
大阪,大阪大果
大阪,大阪中青
大阪,(仲) 中西商店
大阪,(仲) 田中栄
大阪,(仲) 浅井商店
大阪,(仲) 丹栄
大阪,(仲）上光
大阪,(仲) 山留
大阪,東果大阪
大阪,北果
大阪,北部大果
大阪,全農大阪
大阪,南部合同
奈良,奈良中青
兵庫,神果
兵庫,神果明石支社
兵庫,神果尼崎支社
兵庫,神戸丸果
兵庫,姫路大同
兵庫,(仲) 姫路農産
岡山,備前市場
岡山,岡山大同
岡山,岡山丸果
岡山,倉敷青果
広島,福山青果
広島,備後青果
広島,福山大協
広島,広島東印
広島,広島TOKA
広島,広印広島青果
広島,（仲) 二井商店
広島,呉中央
広島,三原合同
徳島,徳島青果
徳島,徳島大同
香川,高松青果
香川,高松大一
香川,香印
香川,観音寺青果
高知,高知高果
愛媛,松山丸果
愛媛,丸温松山
山口,徳山青果
山口,岩国広印青果
山口,宇部大同
山口,新下関青果
福岡,北九州青果
福岡,新筑豊青果
福岡,福岡大同
熊本,熊本大同
鹿児島,鹿児島中央青果
